source,target
France,Germany
Germany,Poland
Germany,Poland
France,Germany
Germany,Poland
Germany,Poland
France,Germany
Germany,Poland
Germany,Poland
Germany,Poland
Germany,Poland
Germany,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
Germany,Japan
Germany,Japan
China,Japan
China,Japan
Germany,Japan
Germany,Japan
Japan,Thailand
Singapore,Thailand
China,Japan
China,Japan
Germany,Japan
Germany,Japan
Japan,Thailand
Singapore,Thailand
Japan,Singapore
Japan,Solomon Islands
Germany,Japan
Germany,Japan
Japan,Thailand
Singapore,Thailand
Japan,Singapore
Japan,Solomon Islands
Philippines,Solomon Islands
Japan,Philippines
Germany,Japan
Germany,Japan
Japan,Thailand
Singapore,Thailand
Japan,Singapore
Japan,Solomon Islands
Philippines,Solomon Islands
Japan,Philippines
Germany,Japan
Germany,Japan
Japan,Thailand
Singapore,Thailand
Japan,Singapore
Japan,Solomon Islands
Philippines,Solomon Islands
Japan,Philippines
Japan,Thailand
Singapore,Thailand
Japan,Singapore
Japan,Solomon Islands
Philippines,Solomon Islands
Japan,Philippines
Japan,Solomon Islands
Japan,Solomon Islands
Japan,Solomon Islands
Philippines,Solomon Islands
Japan,Philippines
Japan,Solomon Islands
Japan,Solomon Islands
Japan,Philippines
Japan,Solomon Islands
Japan,Solomon Islands
India,Japan
India,Japan
Japan,Solomon Islands
India,Japan
India,Japan
Japan,Solomon Islands
India,Japan
India,Japan
Japan,Solomon Islands
India,Japan
India,Japan
China,Japan
India,Japan
India,Japan
China,Japan
India,Japan
India,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
Germany,Poland
Japan,Russia
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Japan,Russia
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Israel,Libya
Iran,Libya
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Israel,Libya
Iran,Libya
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Israel,Libya
Iran,Libya
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Israel,Libya
Iran,Libya
Germany,Iran
France,Germany
France,Russia
China,France
China,India
India,Pakistan
Israel,Pakistan
Israel,South Africa
Israel,South Africa
Israel,Libya
Iran,Libya
Germany,Iran
France,Germany
Iran,Libya
Germany,Iran
France,Germany
France,Japan
France,Germany
France,Japan
France,Germany
France,Japan
France,Germany
France,Japan
Japan,Papua New Guinea
Japan,Papua New Guinea
India,Papua New Guinea
India,Papua New Guinea
India,Pakistan
Pakistan,Philippines
India,Pakistan
Pakistan,Philippines
Laos,Philippines
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
India,Pakistan
Pakistan,Philippines
Laos,Philippines
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
Cape Verde,Ghana
Angola,Cape Verde
Angola,Mozambique
India,Pakistan
Pakistan,Philippines
Laos,Philippines
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
Cape Verde,Ghana
Angola,Cape Verde
Angola,Mozambique
India,Pakistan
Pakistan,Philippines
Laos,Philippines
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
Cape Verde,Ghana
Angola,Cape Verde
Angola,Mozambique
India,Pakistan
Pakistan,Philippines
Laos,Philippines
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
Cape Verde,Ghana
Angola,Cape Verde
Angola,Mozambique
Cambodia,Laos
Cambodia,Kenya
Ghana,Kenya
Cape Verde,Ghana
Angola,Cape Verde
Angola,Mozambique
Angola,Cape Verde
Angola,Mozambique
Latvia,Mozambique
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Albania,Romania
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Albania,Romania
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Hungary,Mongolia
China,Mongolia
China,Cuba
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Albania,Romania
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Hungary,Mongolia
China,Mongolia
China,Cuba
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Albania,Romania
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Hungary,Mongolia
China,Mongolia
China,Cuba
Cuba,United States
Estonia,Latvia
Estonia,Lithuania
Finland,Lithuania
Finland,Romania
Albania,Romania
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Hungary,Mongolia
China,Mongolia
China,Cuba
Cuba,United States
Canada,United States
Australia,Canada
Albania,Bulgaria
Bulgaria,Poland
Poland,Romania
Hungary,Romania
Hungary,Mongolia
China,Mongolia
China,Cuba
Cuba,United States
Canada,United States
Australia,Canada
China,Mongolia
China,Cuba
Cuba,United States
Canada,United States
Australia,Canada
Australia,Vietnam
Canada,United States
Australia,Canada
Australia,Vietnam
Canada,United States
Australia,Canada
Australia,Vietnam
Australia,Canada
Australia,Vietnam
Cambodia,Vietnam
Cambodia,Vietnam
Cambodia,Vietnam
Cambodia,Vietnam
Cuba,Vietnam
Cambodia,Vietnam
Cuba,Vietnam
Cambodia,Vietnam
Cuba,Vietnam
Cuba,Vietnam
Cuba,Vietnam
Cuba,United States
Cuba,United States
Cuba,United States
Russia,United States
Japan,Russia
Russia,United States
Japan,Russia
Japan,Russia
Japan,Russia
Japan,Russia
Japan,Russia
Japan,Russia
China,India
China,India
China,India
China,India
China,India
China,India
India,South Africa
Rwanda,South Africa
Rwanda,South Africa
Rwanda,South Africa
Rwanda,South Africa
Rwanda,South Africa
Finland,Russia
Finland,Russia
Finland,Russia
Finland,Germany
Finland,Russia
Finland,Germany
Finland,Russia
Finland,Germany
Finland,Russia
Finland,Germany
Finland,Germany
Finland,Germany
Germany,Norway
Germany,Norway
Germany,Norway
Germany,Norway
Germany,Norway
Germany,Norway
Greece,Italy
Greece,Italy
Greece,Italy
Italy,Japan
Italy,Japan
Italy,Japan
Italy,Japan
Italy,Japan
Italy,Japan
India,Pakistan
India,Pakistan
India,Pakistan
India,Pakistan
India,Pakistan
India,Pakistan
Romania,Russia
Romania,Russia
Romania,Russia
Romania,Russia
Romania,Russia
Romania,Russia
India,Lebanon
India,Lebanon
India,Singapore
India,Singapore
India,Singapore
India,Singapore
India,Singapore
